263 steps found in LR directions.
GSC CLG RPF
NTQ RMN HLB
LTX XFB CGP
RHK KRS TPX
KPK PRP MKG
NKV BHD DQJ
JNK RXN BQX
JXJ JFK CCS
LDC JBF PHQ
QRS VPM FDD
XRL SQT VGH
VQN BRP VCF
NBP GKC HKC
FCH KLN RQV
BQT KKX RNZ
SVN JGN FSL
FPL SDB VQV
RMQ CCV JST
DRB MSM VHX
DDF GHC PSX
GLR LFR THG
DGL JGQ DHD
RFQ BXJ SRQ
XTG XBB TQJ
PCL DDK GNC
FVG JKL CRC
GXQ CBS RJS
SDR LFR THG
KBM PCV DBP
XPJ GCS GJD
XRG LNK KQL
FPQ TPG MQQ
MSM LQG KRF
LFR THX GFC
KQK FQH FCH
HPH HHJ VKM
DHC QGV FNH
PQQ KKX KKX
TNQ LXD KNG
QNB TLX VLF
VKX BJL GQB
DTM KRQ CLV
BHS LFH TVV
MCJ BFJ FCS
CGQ MRH SBD
FBM RXQ CFR
NLQ QSD LFZ
VSK DGR DFT
HJG TFV XJL
XFB NKP FBF
JGL RGS KTD
MHS BNM KSK
RMG QNB MHL
XSX XBG GVD
FMV LVV CQR
CRK TRN KKG
VQV BPB RFL
THN QVH DVT
GNT RGS KTD
DCH GJD GCS
KTD LSF MJC
BDC FDH MSK
PRQ JGL GNT
PSR DHF FPL
XBB FRR GSC
SFB HGX DFS
VTJ HFH KXN
KJV TKP THL
BFF PLM DGC
VBV XDK LLS
KMV XDS VQT
JPD BHL QJF
DGR MTT JCG
PGK VCX NLQ
BFJ FHX QFR
VSF VKX CTP
PFJ BRP VCF
XVN VCX VCX
JQG SKM THM
CXS CRC JKL
RFL NNT DMH
RBH KHM PLR
PNT JCQ XSR
XHK GJK BLQ
CFR FHC CTD
JPP JFD FPB
RRT VVM NFB
RPF TKG KVK
JTF FBT DLL
PSX PDS JPD
TCH TDN FRB
RHT VNR NHB
TQJ GSC FRR
MCK NJD XDX
NPH XQF NSL
LQQ LCM PHH
VSV SFT MVL
KRS TGR TGR
DRR JXT TSF
QRQ NTG MTL
PJB RMN HLB
VFC KPH PKM
FHC CJM FTQ
DRC RBC THN
TRB JHX LSC
GCS TRB MDB
RCG MFT FXM
HCB LHB JGH
BFN RMG KJH
TPG NGM XHQ
JCS VGS NSN
SGT LHX MPF
NXM VPH KGV
XNC LTX PHJ
DNT KLS RNC
JGN TNN BXD
QJX XPJ DCH
LQP FRK NFS
HCL GBS PGB
FDD XQJ XTS
XTS TJL LGJ
HLR TBR FPG
DLL VJV MJN
LFH VBM MHT
LMD VGG RHK
JKL CMQ QCN
DDP GTH HKM
VNL VVL CFP
SGB MKL DVQ
KBJ BDF SXQ
DVT NMB LCB
XQJ TJL LGJ
HLB XHH XNC
VPT BRF JPP
PDS QJF BHL
CGG PLS SNM
SDB RFL BPB
DVQ XSX KXQ
XQS BPF XLV
CDG XKV HMT
JCG CFK RPR
RBC DVT QVH
BJB MVC KXL
LFZ HTT QTF
FTQ RLM LMQ
TCT FPH FCC
QXL BPF XLV
MXX BHX QNX
LSR FFJ DMT
RTD KBS GDV
TXH QBQ NSF
CSB CBP QDQ
GBS BRN GXP
GMX LHX MPF
JQV GMX SGT
GML GLR SDR
GCG RHT KTF
RPR XTG JGT
NDG QFD HTD
KBK VFP BSC
FVB RFQ LLH
CGP NKP FBF
RXQ FHC CTD
KQD CJN DRR
QTF FVH TRV
QDQ FBM SLV
NMT JST CCV
BHC RJM SVN
GMR LNT XFP
MSK VQN PFJ
CBV CGB PGV
MHT GMC RSH
BRN KQK FXV
XXM JGL GNT
VLF VNN RRV
FDH VQN PFJ
NFD MGN GLL
THM PLL VTJ
MPF JVN DFC
BNG RNC KLS
LGJ QHV XBR
QTJ TVT NBP
KRQ MDF RLN
PCK CCS JFK
DQV FLD CSB
HDD FGX XRG
TFL DQV CJQ
BNM KMV CVX
MLC CFP VVL
SBD MKD DKP
PSK DBV BSF
FRB BBD TPB
RKL HVK DRN
HMZ DRR CJN
LJK LBN DDG
LSC MXX VFX
TDN TPB BBD
RNX FBT DLL
QGJ KTS RBF
RFB BCF MHS
VGN TJP VSF
HFH FPQ PGF
HXX QFD HTD
RJS PCK JXJ
TRQ GCG GQF
KXN FPQ PGF
FMS XJL TFV
NMB QRQ DGD
BPF VMX GXQ
HCX XSR JCQ
RJR BNG DNT
BQX GQC VLX
DHD RLC GVS
DQJ HJG FMS
QFD TNQ HSF
HMT HSG MHM
BHD FMS HJG
NDF PLK RTX
GMC PNT HCX
GQX CPB VNP
BXD VNL MLC
DTD XLK BVR
KQT MRH SBD
QJH QMD KBJ
NFJ MVL SFT
JMH FVB BMP
BVF SFB KSS
RBF JCD NDT
QBX KJV LBX
NTG DPX CBV
DRL XXM PRQ
QNX SHD LXG
